player_id,player_url,short_name,long_name,age,nationality_name,player_positions,overall,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_short_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_reactions,power_shot_power,power_stamina,power_strength,mentality_positioning,mentality_vision,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,preferred_foot,weak_foot,skill_moves,work_rate,player_traits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,image_url,rarity,required_xp,price
239085,/player/239085/erling-haaland/240002,E. Haaland,Erling Braut Haaland,22,Norway,ST,91,89,93,66,80,45,88,96,77,82,82,94,94,94,76,93,96,74,87,38,47,29,7,14,13,11,7,,Left,3,3,High/Medium,"Acrobatic +, Power Header, Quick Step",90+3,90+3,90+3,82,86,86,86,82,82+3,82+3,82+3,79+3,74+3,74+3,74+3,79+3,62+3,63+3,63+3,63+3,62+3,60+3,62+3,62+3,62+3,60+3,19+3,./game/erling-haaland.png,Legendary,550,22000
192985,/player/192985/kevin-de-bruyne/240002,K. De Bruyne,Kevin De Bruyne,32,Belgium,"CM, CAM",91,72,88,94,87,65,78,85,94,92,72,72,92,92,88,74,88,95,88,66,70,53,15,13,5,10,13,,Right,5,4,High/Medium,"Pinged Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Whipped Cross, Trivela",83+3,83+3,83+3,87,88,88,88,87,89+2,89+2,89+2,88+3,90+1,90+1,90+1,88+3,79+3,80+3,80+3,80+3,79+3,75+3,70+3,70+3,70+3,75+3,21+3,./game/kevin-de-bruyne.png,Legendary,500,27000
231866,/player/231866/rodrigo-hernandez-cascante/240002,Rodri,Rodrigo Hernández Cascante,27,Spain,"CDM, CM",89,58,73,80,80,85,84,64,89,88,54,62,89,91,89,83,75,82,85,88,87,78,10,10,7,14,8,,Right,4,3,Medium/High,"Power Shot +, Long Ball Pass, Bruiser",77+3,77+3,77+3,76,79,79,79,76,80+3,80+3,80+3,78+3,85+3,85+3,85+3,78+3,80+3,87+3,87+3,87+3,80+3,80+3,84+3,84+3,84+3,80+3,19+3,./game/rodrigo-hernandez-cascante.png,Epic,400,18000
239818,/player/239818/ruben-santos-gato-alves-dias/240002,Rúben Dias,Rúben dos Santos Gato Alves Dias,26,Portugal,CB,89,62,39,66,69,89,87,29,83,75,54,69,89,74,78,90,39,51,81,91,91,87,7,8,13,7,12,,Right,4,2,Medium/High,"Bruiser +, Power Header, Block, Aerial",61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3,./game/ruben-santos-gato-alves-dias.png,Epic,400,18000
210257,/player/210257/ederson-santana-de-moraes/230002,Ederson,Ederson Santana de Moraes,28,Brazil,GK,89,,,,,,,14,61,40,64,63,88,70,41,78,20,70,70,29,15,8,87,82,93,88,88,64,Left,3,1,Medium/Medium,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3,./game/ederson-santana-de-moraes.png,Epic,450,21000
218667,/player/218667/bernardo-mota-carvalho-e-silva/240002,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,28,Portugal,"CM, RW",88,69,78,86,92,70,69,78,91,91,78,61,89,79,93,54,85,87,89,70,76,60,9,10,14,12,9,,Left,3,4,High/High,"Technical +, Tiki Taka, Flair, Relentless, Trivela",78+3,78+3,78+3,85,84,84,84,85,87+1,87+1,87+1,86+2,87+1,87+1,87+1,86+2,80+3,80+3,80+3,80+3,80+3,76+3,70+3,70+3,70+3,76+3,19+3,./game/bernardo-mota-carvalho-e-silva.png,Epic,450,17000
237692,/player/237692/phil-foden/240002,P. Foden,Philip Foden,23,England,"LW, RW",85,81,79,82,88,57,60,81,86,90,86,77,81,83,83,47,83,84,81,60,59,47,8,15,6,10,13,,Left,3,4,High/High,"Technical, Flair, First Touch",77+3,77+3,77+3,84,84,84,84,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,73+3,71+3,71+3,71+3,73+3,69+3,60+3,60+3,60+3,69+3,19+3,./game/phil-foden.png,Rare,300,13000
203574,/player/203574/john-stones/240002,J. Stones,John Stones,29,England,"CB, RB",85,72,52,75,77,85,77,54,86,84,67,76,86,55,74,77,52,78,87,86,86,84,7,15,11,10,8,,Right,4,3,High/Medium,Long Throw,68+2,68+2,68+2,71,71,71,71,71,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,80+2,83+2,83+2,83+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2,./game/john-stones.png,Rare,300,13000
206517,/player/206517/jack-grealish/240002,J. Grealish,Jack Grealish,27,England,"LW, LM",85,76,76,84,88,53,73,76,85,90,79,74,84,76,83,71,82,87,88,58,54,48,11,6,11,10,13,,Right,3,4,High/High,"Press Proven +, Finesse Shot, Flair, First Touch",77+3,77+3,77+3,84,83,83,83,84,85,85,85,84+1,82+3,82+3,82+3,84+1,71+3,70+3,70+3,70+3,71+3,67+3,61+3,61+3,61+3,67+3,18+3,./game/jack-grealish.png,Rare,300,13000
188377,/player/188377/kyle-walker/230002,K. Walker,Kyle Walker,32,England,RB,85,91,63,77,78,80,82,51,80,81,87,94,85,86,86,80,68,69,75,76,84,83,12,6,16,15,8,,Right,2,3,High/High,"Long Throw-in, Speed Dribbler (AI)",74+3,74+3,74+3,76,76,76,76,76,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,82+3,81+3,81+3,81+3,82+3,19+3,./game/kyle-walker.png,Rare,300,14000
